key,kernel_url,local_directory
Earth,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/pck/earth_1962_240827_2124_combined.bpc,generic_kernels/pck/earth_1962_240827_2124_combined.bpc
Earth,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/fk/planets/earth_assoc_itrf93.tf,generic_kernels/fk/planets/earth_assoc_itrf93.tf
Earth,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/pck/moon_pa_de440_200625.bpc,generic_kernels/pck/moon_pa_de440_200625.bpc
Earth,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/fk/satellites/moon_de440_250416.tf,generic_kernels/fk/satellites/moon_de440_250416.tf
Earth,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/fk/satellites/moon_assoc_me.tf,generic_kernels/fk/satellites/moon_assoc_me.tf
Mars,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/mar099.bsp,generic_kernels/spk/satellites/mar099.bsp
Jupiter,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/jup347.bsp,generic_kernels/spk/satellites/jup347.bsp
Jupiter,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/jup365.bsp,generic_kernels/spk/satellites/jup365.bsp
Saturn,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/sat415.bsp,generic_kernels/spk/satellites/sat415.bsp
Saturn.bsp,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/sat441.bsp,generic_kernels/spk/satellites/sat441.bsp
Saturn,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/sat454.bsp,generic_kernels/spk/satellites/sat454.bsp
Uranus,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/ura115.bsp,generic_kernels/spk/satellites/ura115.bsp
Uranus,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/ura116.bsp,generic_kernels/spk/satellites/ura116.bsp
Uranus,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/ura117.bsp,generic_kernels/spk/satellites/ura117.bsp
Uranus,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/ura182.bsp,generic_kernels/spk/satellites/ura182.bsp
Neptune,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/nep095.bsp,generic_kernels/spk/satellites/nep095.bsp
Neptune,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/fk/satellites/nep095_nameid.tf,generic_kernels/fk/satellites/nep095_nameid.tf
Neptune,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/nep104.bsp,generic_kernels/spk/satellites/nep104.bsp
Neptune,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/nep105.bsp,generic_kernels/spk/satellites/nep105.bsp
Pluto,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/satellites/plu060.bsp,generic_kernels/spk/satellites/plu060.bsp
